id,response
STDT 3065," The weight of the astronaut will increase in places where gravity is greater, (Earth) and decrease in places where gravity is lower. (Space) "
STDT 2545,"The reason why astronaut weight is different on the Moon than on Earth is because the amount of gravity on the Moon is 1.62m/s2  and the  gravity on Earth is 9.807m/s2, which means that on the Moon the astronaut weights less than what he or she weights on Earth. For example if on Earth an astronaut weighs 150 ibs than on the Moon i would weigh 24.80 ibs . So basically what im trying to say is that on the Moon astronauts have less mass."
STDT 3071, The weight of an astronaut is less on the moon than on Earth because the moon has a less amount of gravitational pull than Earth. 
STDT 3075,the gravity is less so there is less gravity pushing them down so les weight 
STDT 3077, An astronaut's weight is different on the moon because there's no gravity on the moon. But on earth it is different because there is gravitational pull on earth.  
STDT 3078, An astronaut's weight is different on the moon than it is on Earth because ton the moon their is less gravity than on the Earth.
STDT 3081,"When, you get farther away from the earth your weight gets lighter so when you are so far away from the earth your weight will be lighter. Even if you 50 ft (ca. 15 m) above the ground your farther away from gravity so your lighter "
STDT 3083, It is because there is less gravity on the Moon then on Earth. So while on the moon you will be lighter then on Earth.
STDT 3086, ON THE MOON THAIR IS LES GRAVITY PULING DOWN ON YOU THAN ON EARTH 
STDT 3089, Beacause there is no gravity in space to pull us back downto earth and deacreses our weight. 
STDT 3090," Weight is the force of gravity on an object, therefore since there is more gravity on earth than the moon, on earth the astronauts weight would increase and in the moon the astronauts weight would decrease. "
STDT 3093,Because on earth there is gravity and in space there is no gravity. 
STDT 3094, The astronaut's weight is different on the moon then on earth because the moon is smaller then the earth. Because the earth is larger it has a stronger gravitational pull. The moon has less gravitational pull so the astronauts weight decreases on the moon. 
STDT 3100,an astronauts weights lesser on moon when compared to earth therefore a person would be much lighter on the moon.
STDT 3102, In Earth there is more gravitational force than on the moon. So you would have more weigh on earth than on the moon. 
STDT 3109," When they are on earth there is gravity but on the moon there is no gravity, so their weight will be less.     "
STDT 3112, Here on earth there is gravity that keeps us down on the ground. But in space there is no gravity u just float! So without gravity you are lighter. Then when you are on earth you are forced to the ground. 
STDT 3114,It is different because earth has gravity that make us heavier.
STDT 3116,"There is more gravitational pull on Earth than there is on the moon.  This means that the amount of weight that your body has will change, but your mass will remain the same.  You will be heavier on Earth than you will on the moon. "
STDT 3120, there is less gravity on the moon
STDT 3121,The moon has less gravity than the Earth. This means that an astronaut would weigh less on the moon because there is less gravitational force pulling on the astronaut than there would be on Earth.
STDT 3123,"The astronaut's weight will be different because if there is less gravitational pull on moon,  them the astronaut's weight will be lighter."
STDT 3125," Learning from my lesson the reason why the astronauts's weight will change when on the moon is because the weight of a person depends on mass as well as gravity.   So if the moon has less gravity than earth, that is why the person's weight will change. "
STDT 3137, The astronauts weight is different on the moon then on earth because the moon has less gravitational pull then the Earth does. 
STDT 3142, The earth is bigger in mass and the moon is smaller in mass. His weight will be heavier on the earth. He'll be lighter on the moon. Gravity on the moon is less than earth. 
STDT 3143," I think it is because of weight, in a meaning that weight is your measure when it comes to how much you weigh on the moon, and also because on the moon there is less gravity meaning you'll weigh less.  "
STDT 3148, because weight is a measure of force so if there's less force on the moon the astronauts going to weigh less compared to earth where there's more force.
STDT 3156,An astronaut's weight is different on the moon than it is on Earth because the Moon is smaller than Earth so it has a weaker gravitational pull.
STDT 3164, The astronaut's weight on the moon is different because there less gravity. 
STDT 3168,"There is no gravity in space, so when you hop you go higher than how we jump on Earth. Earth have gravity and with the gravity you can't jump as high "
STDT 1798, because the moon is smaller than the earth and about 60 percent as dense the astronaut weight is only about one-sixth of what it would be on earth. 
STDT 3171,  An Astronauts weight is different on the moon than it is on earth because the moon has less of a gravitational pull which causes  him or her to have less weight but his or hers mass stays the same. 
STDT 3172," Because it has smaller mass, and it is farther away from other planets. "
STDT 3178, Yes because there is less gravity. so the astronauts weight would be different. 
STDT 3179, There is more gravity on earth than there is on the moon.
STDT 3183," Well your weight increases on a Earth because you have more gravity there, and   it decreases on the moon sense you have less gravity."
STDT 3187, Their weight changes because the gravitational pull is lower on the moon.B
STDT 3190,An astronaut's weight changes because of the gravity. On earth he or she would weigh a lot cause of gravity but in space their weight decrees cause there is no gravitiy.
STDT 3203," On earth, they weigh more because gravity pulls them down onto the ground which makes them weigh more, but in space they really don't get pulled down to the ground, so they don't weigh nearly as much.Their mass will always remain the same. "
STDT 3206,The gravitational pull of the moon is much less than it is on earth and a person Weighs less on the moon
STDT 3208, Earth has more mass than the moon because earth is larger. Earths gravity is stronger than the moons. Earth gravity pulls you down and makes you heavier. The astronaut would feel light because there is less gravity pulling him down. So the astronaut would be lighter on the moon.  
STDT 3294," It is because the gravity on the moon and the earth are different. On the moon there's less gravity there, making people weight less, but on earth there is more gravity, causing people to weigh more. "
STDT 3301, the reason an astronauts weight is different on the moon is because there is less gravitaional pull on the moon than on earth 
STDT 3306," The astronauts weight is different on the moon than on earth because on earth there is gravity, so he is being pulled down by gravity and on the moon there is no gravity so the astronaut is lighter "
STDT 3307, There is more gravity on Earth than in space. 
STDT 3310, The weight is different on the moon than  the Earth because of gravity. The more mass the more it weights so therefore the mass on earth is more than on the moon so it weighs differently.  
STDT 3313, Since weight needs mass and gravity to work. The astronaut would be lighter on the moon because there is less gravity than compared to the earth. That means that an astronaut would be multiple pounds lighter.  
STDT 3314, Because the astronaut is farther from earth making the gravity less powerful. 
STDT 3316," Since weight is in the force of gravity it can act on an object causing the gravity to increase mass of the planet. If there were an astronaut to travel, the earth would obviously have more mass. The astronaut would not be able to move because of the mass on the planet, and because of how much of the astronaut is accelerating, that would make the astronaut weigh ore, and the earth less because of how much mass there is. "
STDT 3317, On earth you have more mass and gravity. On the moon you have mass yet less gravity. 
STDT 3320, The astronauts weight is different because the gravitational pull is different because the mass is less than the earths mass. 
STDT 3321, There is no gravity on the moon. That's why an astronaut's weight is different than on Earth.     
STDT 3322, The weight of one individual on the moon differs from when they are on Earth because of the different strength of gravity that the moon has. This why an astronauts weight would weigh less than they would if they were on Earth. 
STDT 3323, Astronuants weight less on the moonBecause on the moon (or space) there is less gravity than on the earth so you will just float in the air when your on the moon 
STDT 3324," The mass of the Earth's Moon is much smaller than that of the Earth itself. In addition, the gravitational attraction on the Moon is much lower than on Earth, so an individual weighs less there. "
STDT 3327, The weight in the moon is different then in earth . 
STDT 3329," Earth has more gravity than the moon, so on the moon they would be  much lighter. "
STDT 3337," All objects on the Moon weigh so much less than they do on the Earth. This is because the gravitational field strength or weight is much less. For example, astronauts can jump a lot higher when they are on the moon than when they are on Earth.   "
STDT 3340, Our weight on earth is more than on the moon and our weight on the moon is less because gravitation force is determined by the mass and size.  
STDT 3342, The reason an astronaut's weight is different on the moon than it is on earth because the moon has less gravitational pull so you have less weight. This is because on earth we have gravity pulling us down to the grown rather say floating in space. 
STDT 3347," Weight is the amount or force of gravity on an object. Since the Earth has more gravity than the moon, you weigh less than you would on Earth because gravity is taken off of you. And since you don't have much gravity, you don't way much. "
STDT 3348," An astronaut's weight is less on the moon because weight is determined by the amount of gravity so the less gravity, the less weight. The moon has a weaker gravitational pull than Earth so and astronaut's weight would be less on the moon. "
STDT 3349, The reason why an astronaut weight is different on the moon is because of mater and weight are two different types of measurements. 
STDT 1283, Astronauts weight is less on the moon then on earth due to the gravity on the moon the moons gravitation force is deermined by the mass and size of the moon. 
STDT 3352, An astronaut's weight is less on the moon because the moon has a weaker gravitational pull. 
STDT 3354," Astronauts' weights are different on the moon because the moon is smaller than the earth, which means there is less mass, and the gravitational attraction is less than on earth, making the astronauts' weight less. "
STDT 3357,"       If you are on earth, your mass is gonna be the same, and your weight is too, but then you wanted to take a trip to the moon. Your weight starts changing by decreasing. This is because gravity is different in other locations.  Gravity is going to change, like on the moon. There isn't much gravity. For example: if you jump you land slowly because gravity isn't pushing you down to the ground. Because there isn't much gravity, your weight decreases but your mass will stay the same. "
STDT 3359, The gravity on the moon is way less than the Earth's gravity. So the gravity makes you lighter on the moon. 
STDT 3363," An astronaut weighs less on the moon because the moon has a smaller gravitational pull than the Earth does, which means the moon has a smaller mass. When an object is smaller than another, it has a less gravitational pull. "
STDT 3364, because gravity is weaker in space. 
STDT 3369," On earth the weight on the astronaut is large, but on the moon its weight is smaller than earth. "
STDT 3370," Astronaut's weight is different on the moon than it is on earth because weight is a measure of force. On earth, your mass is in kilograms, and your weight will be in pounds. weight is the force of gravity on an object. The weight of an object increases in a location with more gravity and decreases in a place with less. "
STDT 3371, An astronaut will weigh less on the moon than on Earth. This is because the mass is less up in space. 
STDT 3380," The moon has less mass than the Earth, and therefore it is not as affected by gravity as the Earth. "
STDT 3384, There is no gravity on the moon and there is gravity on earth. That is why the astronauts' weight is different on the moon than on earth. 
STDT 1332," Simply, the moon is smaller and the earth is way bigger. then the moon. "
STDT 3392, An astronaut's weight is different on the moon than it is on the earth because gravity on the moon is different than on the earth. It depends on where you are to tell if the gravity will be the same.   
STDT 3399, The astronaut's weight changed because the gravitational pull on the moon is less powerful than the gravity on the earth. The reason why the moon has a less powerful gravitational pull is because of mass. The Moon's mass is comparable to mercury. 
STDT 3406, The moon has less mass then earth. 
STDT 3408, Astronauts weight is different on the moon because the moon is smaller than earth so it has less gravitational pull on the Astronaut but his or her mass stays the same. 
STDT 3415," The Moon's gravitational force is only about 16.6% of Earth gravity , it means that a person would weight six time less on the moon than they do on Earth. A 45-kilogram person would weight 100lbs,on Earth but only 16.6 lbs. The gravity on Moom is is less than in Earth. The weight of an object on the Moon is 1/6th it's Leighton the Eart. "
STDT 3420, I think the weight is different on the moon compared to the moon because the moon has barely gravitational force and there is no air in space. 
STDT 3422," The moon has less mass than the earth, making it have less gravitational force than the earth. "
STDT 3424, the gravity causes the weight to be lighter 
STDT 3427, Earth is bigger so it has a stronger gravitational pull making an astronaut heavier 
STDT 3433," On the moon the astronaut's weight decreases, but the astronaut's mass stays the same. "
STDT 3436, An astronauts weight on the Moon is less than it is on Earth because there is less gravity on the Moon than there is on Earth. 
STDT 3438, The weight of astronauts on earth is different on the moon because the mass on earth and on the moon are the same. Though the gravity on the moon is less than the gravity on earth. 
STDT 3443, An astronauts has more weight on earth and less weight on the moon because less mass the less gravity and on the earth and the moon the mass is different so the astronauts has more weight on earth because the mass is more and on the moon its less 
STDT 3444, There is less gravitational force on the moon so people seem lighter on the moon then earth. 
STDT 3454," An Astronaut's weight is different on the moon because of the force of Gravity   on the moon, unlike the force of Gravity on Earth. "
STDT 3455, Every mass in the universe attracts every other mass in the universe  with a force that is directly proportional to the product of the two masses involved  . moon is weighless compared to the earth. 
STDT 3457, Astronauts weight is different on the moon because your weight changes depending on where you are. You could weigh 125 pounds on Earth and only 30 pounds on the moon. 
STDT 3458," The weight is different because on earth you have more gravity so it puts more mass to your body, as on the moon there is less gravity. Even though you weigh the same amount on earth and moon the gravity makes it different in both places. "
STDT 3464, The astronaut's weight will increase on earth and decrease on the moon because the gravitational force. 
STDT 3470, The weight is different on the moon because there is less gravity and when there is more gravity like on earth they will be heavier. For example if i was on earth i would be 120 pounds if i was on the moon with less gravity i would be less then 120 pounds. 
STDT 3477, The reason why the moon's gravity is different than the earth's is because the mass of the moon is much less than the earth's.  
STDT 3479," The moon's gravity is weaker than that of the Earth's, so less gravity pulling down on the astronaut means free weight loss! "
STDT 3481, It is different because the gravitational force is not as strong the farther the astronaut moves from earth. 
STDT 3482," The weight is different because the gravity is decreased on moon and increased on earth, more gravity more weight, less gravity, less weight "
STDT 3483, An astronaut's weight is different on the moon than it is on earth because the weight of the astronaut increases on earth because there is more gravity on eart than there is on the moon.  
STDT 3484, The stronger the force of gravity means there is more weight (like on Earth) but the least amount of gravity the less you weigh (like on the Moon). 
STDT 3486," Their weight is different because on earth there is more gravitational force than there is on the moon, so if you jump you will fall down quicker on earth because you weigh more than you would on the moon because the gravitational force is lower than earth's.    "
STDT 3488, An astronaut's weight is different because there is less gravity on the moon. 
STDT 3490, An astronaut's weight is different on the moon because of the gravitational pull and other forces that cause it. 
STDT 3493, Because the mass and weight on earth are different from the mass and weight on the moon. 
STDT 1491, because there is a lot less gravity on the moon and in space in genaral 
STDT 3494, the weight of the astronaut increases with more gravity in its location but it decreases while its its in place. 
STDT 3496, It is different because there is more of a gravitational pull on Earth then the Moon. 
STDT 3497," The astronauts' weight is different on the moon than it is on Earth, because the moon has a weaker                             gravitational pull,and it's smaller in size.     "
STDT 3498," By definition, weight is the force of gravity on an object. The astronauts' weight is more on Earth because Earth has more gravity and less on the moon because the moon's gravity is less than Earth's. The weight of the astronaut will vary depending on the gravity of the location, but the mass will remain the same.  "
STDT 3499, the moon has less gravity than earth   
STDT 3501," The astronauts' weight is different when on the moon or the earth because the mass is different for each planet. In this case, the moon has less mass, so it gives the astronaut less weight. :) "
STDT 3505," When an astronaut is on earth his/her weight would be regular because earth has mass and gravity. On the moon his/her weight would be different because the moon has mass but it doesn't have gravity. Weight depends on mass and gravity, so since the moon doesn't have gravity its different from it is on earth. "
STDT 3506, the astronauts mass changes  
STDT 3514, On Earth an astronaut's weight would be 196 pounds (88.9 kg). On the Moon their weight would be 5 pounds (2.27 kg)   
STDT 3516, It is diffrent because there isnt any gravity there. 
STDT 3518, Because of gravity on earth is very high every thing that go's up comes down but in space every thing that go's up doesn't come down until it hits something that will make it go down but on the moon some times it will let you go down it will just be slow though 
STDT 3521," First, of all the way to increase gravity is the force of it. This means in simple terms that if theres more force your weight increases like in earth. but in the moon there isnt a lot of force so your weight deacreses. So basically earth has more force which means you way more and the moon doesnt haave as much force as the earth thays why you way less.    Bonus of what i learned mass doesnt change wherever you are like if youre ron the moon it doesnt change if your on earth it doesnt change. "
STDT 3523, An astronaut weight would be different because the moon has less gravity and so the astronaut his weight would be less then what it is on earth. 
STDT 3527, Your weight is different on earth because of gravity. Gravity is basically all your weight. On the moon your weight decreases because there is no gravity on the moon. 
STDT 3535, The astronaut's weight is different because the moon has no gravity so the astronaut's weight is less. While on Earth astronaut's weight more because there is gravity and gravity pulls you down.  
STDT 3540, The gravitational pull of the Moon is not as strong as the Earth because the Moon's mass is not as big as Earth's. 
STDT 3541, because the moon has less gravity 
STDT 3546, Because thing on the moon weight less then they do on earth meaning they can jump higher.Weight is not the same on the moon then is on earth because gravity acts different the gravitational attraction from the moon is allot less one person weighs less on the moon then they do here. 
STDT 3548, An astronauts weight is different on the moon then earth because on earth gravity pulls you down and on the moon it 
STDT 3553, Because there is no gravity on the moon. 
STDT 3556," The reason for the change in astronauts' weight depending on what planet they are on is due to the planet's gravitational force. Objects that have a small amount of mass have less of a gravitational pull compared to objects larger in mass because mass and distance are the two key factors that make up gravitational attraction. This means that Earth, a planet with a mass of 5.9722 x 10 24  kilograms, will have a stronger gravitational pull than the Moon, with a mass of 7.34767309 × 10 22  kilograms. "
STDT 3557," If I was an astronaut going to a bigger planet than earth, my weight level would increase from the weight on earth.Because the mass of the planet would be greater than earth so my weight would be greater as well. "
STDT 3563," The moon's mass is less than half of the earth, so the gravitational force is way less compared to earth. And the astronaut is closer to the moon so the moon takes the astronaut. Because the moon's mass is so small, it will have less off a force on us, making us lighter. "
STDT 3566, An astronaut's weight is different on the moon than it is on Earth because gravity changes on location.The Earths gravity is greater than the moon's gravity so the astronauts weight is different. The mass of the astronaut stays the same but the force is different because of the gravity difference. 
STDT 3577, Because the  gravity  on the moon and mass. Mass  and weight  affects the force of gravity. It affects how much the astronaut's weight is! 
STDT 3578," You weigh different on the moon because the moon is smaller on then earth so the moon has less gravity,Then on earth you will weigh more because it has more gravity.   "
STDT 3580," Since weight is the force of gravity on an object, the weight of an object increases in a location with more gravity and decreases in a place with less.So the moon is at a gravitational force on the earth, so it has less gravity.Also, the earth has more gravity.   "
STDT 3581, cuz there is less gravity. 
STDT 3582, The astronauts weight would be different on the moon that on it would be on earth because  the moon has less gravity than the Earth . 
STDT 3584," on the moon, weight is kg and on earth we are measured as pounds. "
STDT 2165," The reason that the weight is different is because there is no gravity on the moon, but on earth, there is gravity.  "
STDT 3590," Weight is the force of gravity, and because of that, the weight of the astronaut increases in a location with more gravity and decreases in a place with less gravity. Because the moon has weak gravity, the astronaut's weight decreases.  "
STDT 3592, An astronaut's weight is different on the moon than on earth because the gravitational pull is not as strong because of the distance.  
STDT 3596," The Earth is bigger than the Moon, so it has more mass and the larger the mass, the larger the gravitational pull or force is, so we are heavier, unlike on the Moon. It is smaller, so you are lighter because there is less of a pull. "
STDT 3597," astronaut weight is different on moon than earth is because of the distance,because the moon is way closer to the earth so the force of gravity is stronger. an astronaut weight on the moon , because of it mass. astronaut weight is different of earth because of its gravity. "
STDT 3599," An astronaut's weight is different on the moon than it is on earth because there is no gravity on the moon, so it will lift some of the weight of the astronaut when the astronaut goes back on earth where there is gravity the astronaut will force their weight on the ground. So there would be more weight on earth than in space. "
STDT 3600, Moon has no gravity 
STDT 3601," An astronaut weighs less on earth because earth has a stronger gravity than the moon's. In other words, the weight on earth is the relation between the mass and the gravity force that pushes down on the matter. "
STDT 3611," In the moon, the weight of an astronaut will be 29 ibis ( 129N), but on the earth it'll be 175 ibis ( 129 N ). "
STDT 3614, An astronaut weight is different on the moon because the moon has less mass than Earth. This means that the astronaut will weigh less. 
STDT 3615, Since weight is the force of gravety the weight increases in a place with more gravety and goes down on a place with less gravety.  The moon gravety is smaler than earts so austronaut way less on the moon then they would on earth but ither mass remains the same. 
STDT 3617, because weight is a force of gravity and the moon has less gravity than the earth. 
STDT 3618, it is because in space their is no gravity and so it makes astronaut's jump high but on earth yo don't jump that high. and their is gravity on earth 
STDT 3628," On earth our mass is measured in kilograms and your weight is measured in pounds mass refers to the amount of matter in an object. Weight is the force experienced by an object due to gravity. Since weight depends on both mass and gravity, it changed depending on location. "
STDT 3633," This is because the moon has less mass meaning less gravity. However, the earth has a greater amount of mass meaning it has a stronger gravitational force and more gravity. Since the moon has less mass it has less force. Weight is based on force meaning his weight would decrease. "
STDT 3637, It is different because the gravitational pull of the moon is weaker than the one on the earth 
STDT 3640," Weight is mass with gravity, so if gravity changes, the weight would too. The moon has a smaller mass than the Earth, so it would have less gravity, making the astronaut weigh less. "
STDT 3642, Since Weight is the Force of Gravity on an Object the Weight of an Object Increases In Location with more gravity and decreases In A Place with Less. 
STDT 3647, An astronauts weight is different on the moon than Earth because on earth gravity pulls us down. On the moon we flot making us lighter. 
STDT 3651, Because the moon has less gravity than earth so the gravity will on earth pulls you down more than it does in the moon. And this is what we call weight. 
STDT 3652, It is different on the moon than on Earth because of the gravitational force. Since the Earth is bigger is has more gravity but the moon is smaller so it has less. 
STDT 3653, They don't weigh anything because they can just float. The only difference is between mass and weight.  
STDT 3654, they have a different gravitional pull on the moon because there is less gravity so less gravity means they weigh less 
STDT 3655," The astronaut's weight is less on the moon than on Earth. This is because the mass of the moon is less than the mass of Earth, which makes the gravitational pull on the moon less than on Earth. "
STDT 3656," an astronauts wheight is different on the moon than it is on earth because weight is an application of weight, and the moon has less gravity. "
STDT 3657," Astronaut's weight is different on the moon because there is no gravitational pull on the moon. The reason why, is that the Moon's surface is weaker because it has less mass than Earth. Earth has a thicker and stronger surface. That is why we have gravity today. "
STDT 3659," Because the weight of the astronauts is different on the earth and on the moon, because on earth there is a force of gravity and on the moon there is no gravity. "
STDT 3676," Because your weight increases and decreases in different locations, and the Moon has less gravity than the Earth. "
STDT 3677," The astronaut's weight depends on the location's gravity, and the moon's gravity doesn't pull you down as much as the earth's gravity. "
STDT 3680," Because the mass of the moon is different than the mass of the earth, therefore the gravitational force on the astronaut's different on the moon than on the earth.  "
STDT 3682, The earth has more gravity and the moon has less gravity. 
STDT 3688, AN astronuats weight is different  on the moon than on earth is because  our net weight is less on the moon than we are on earth. so in theory  the reason we weigh less on the moon is because our newtons are different on the moon than on earth 
STDT 3693, the moon has less gravity than the earth the earth has more gravity than the moon so on the moon the weight would decrease. 
STDT 3699," An astronaut's weight is different on the moon than it is on earth, because earth has gravity and the moon has zero gravity. Not just the moon, space itself has zero gravity. So the weight of the astronaut is different on the moon than on earth.   "
STDT 3701," Mass refers to the amount of matter in an object, but weight is the force experienced by an object due to gravity. Because weight depends on both gravity and mass, it can change in different locations. On the moon, there is less gravity than there is on Earth. When you have more gravity, your weight will increase, and when you have less your weight will decrease. So, your weight would be lower on the moon, then it is on Earth. "
STDT 3703," If an astronaut's weight is different on the moon than it is on earth, if you are on the moon, your weight is less than yours on earth, but your mass is going to be the same. "
STDT 3705, There is gravity on earth  
STDT 3710," because, there is less gravity on the moon then on earth.  and due to the earth's bigger mass that's why there is more gravity on the earth then on the moon. "
STDT 3715, Since the moon is smaller than the earth it has a weaker gravitational pull. This means you would weigh less on the moon than you would on earth. 
STDT 3720," An astronaut's weight is less on the moon because the moon is smaller, therefore giving a smaller gravitational force. "
STDT 3725," well, the gravitational attraction on the moon is much less than it is here on the earth. Also, a person on the moon weighs less on the moon. "
STDT 3726, Astronauts may feel weightless on the moon because there is no force pushing or pulling on there body. 
STDT 3729," The astronauts weight is different on the moon than the Earth because the moon has less mass which mean less gravity and when the gravity is lower the astronauts will be lighter on the moon, and they can jump higher and kind of float for a short period of time. "
STDT 3731," An astronaut's weight is different on the moon than on earth because on the moon there is less gravity than on Earth. Therefore, on the Earth the gravitational force pulls down while on the moon the gravitational force does not pull. "
STDT 3732, There is less gravity/pressure on the moon then on earth. 
STDT 3736," An astronaut's weight is different on the Moon because of the big gravitational difference between the two planets. Earth has a lot more gravitational force than the Moon. The Moon has only one sixth / about 16% of the Earth's gravity, making you weigh about 83.5% less when you go to the Moon.    "
STDT 3737," the weight is different, cause of the gravitational pull, on each place "
STDT 3738, An astronaut weight is different on the moon than it is on the earth because the earth has more gravity then the moon. This makes the astronaut weight less on the moon making him float.
STDT 3739, On Earth there is gravity and on the moon there is no gravity. Weight increases with more gravity. 
STDT 3741, An astronaut's weight is different on the moon than on Earth because of the gravitational pull. 
STDT 3744, The weight of an object will be decreased sense it is further from the gravity of Earth. 
STDT 3747," The astronaut's weight is different on the moon because on the moon there is more gravity, and weight is the force experienced by an object due to gravity. Therefore, the astronaut's weight is lighter. "
STDT 3753," Their weight is different because there is less gravitational force, however there mass dose not chang  "
STDT 3758," The moon is smaller and has less mass than the earth, so the astronaut's weight would decrease while being on the moon.  "
STDT 3759, Some places have less gravity and gravity gives you weight. Earth has more gravity than the moon they have less weight. 
STDT 3760," An astronaut's weight is different on the moon than it is on Earth because there is less gravity on the moon than on Earth, so the astronaut's weight is different because there is less gravity pulling him/her down. "
STDT 3761," An astronaut's weight on the moon is different than it is on the Earth because of the mass of the Moon being less than the Earth. Therefore, the gravitational pull on us would be less, furthermore allowing us to be lighter than on Earth. "
STDT 3768," Because the gravity on the moon is less than on Earth, it makes the astronaut's weight smaller there than on Earth. So, if the astronaut's weight on Earth was 200 lbs, then he or she's weight on the moon would be 33 lbs. That is because the gravity is lower on the moon than it is on Earth. "
STDT 3774, there is no gravity in space 
STDT 3775, The reason why the weight on the moon is different than the weight on earth is because there is less gravity on the moon.  Weight changes depending on it's location.  Objects on the moon will weigh less than if it was on earth even if they have the same mass. 
STDT 3777, because the moon has more mass and on the moon it is lower gravity than on earth. 
STDT 3778, because weight depends upon gravity and mass but gravity on earth differs from gravity on the moon 
STDT 3780, because there is a different in gravity 
STDT 3783, your mass stays the same on both the moon and earth because gravity is less on the moon then on the earth you way much less on the moon. 
STDT 3785," The reason an astronaut's weight is different on earth is because there is more gravity but the moon has less gravity, causing the astronaut to seem lighter.  "
STDT 3788," When you are on the moon there is not a lot of gravity. And when you are on Earth there is gravity. So when on the moon you don't have a lot of weight on you. Like say, you weigh 129 pounds but on the moon you would weigh 29 pounds!  "
STDT 3790, the man weighs less on the moon because of gravity and distance. the farther you get from earth the less you weigh. 
STDT 3791, the moon has less mass 
STDT 3794, Your weight is 1/6 on the moon than your weight on earth. 
STDT 3795, Because weight is measurement of force and needs mass and gravity and there is no gravity up in space. 
STDT 3802, An astronaut/s weight is diffrent because they dont have as much gravatational force on them. 
STDT 3804, The moon have less gravity so you don't weigh the same as u do on earth  
STDT 3806, because things on the moon dont weigh as much on earth because of the gravitational field. 
STDT 3807," The Earth's Moon has considerably less mass than the Earth itself. And also the gravitational attraction on the Moon is much less than it is here on Earth, and a person weighs less on the Moon. "
STDT 3808, your weight is less 
STDT 3811, I think they will weigh less on the moon because of the mass and the size of the moon. 
STDT 3903, An astronaughts weight is different on the moon than it is on Earth is because the moon have less mass than the Earth. So the gravity is less on the moon. 
STDT 3907, An astronauts weight is different on the Moon rather than on Earth because the Moon is smaller and has less mass. 
STDT 3908, the moon has more gravity that means you weigh less but you mass stay's the same 
STDT 3920,"  The weight is the force of gravity on an object. The weight increases in a place with more gravity, and decreases in a place with less. There is less gravity in space than it is on Earth, so the astronaut's weight decreased. "
STDT 3921, There is not very much gravity on the moon therefore you will not weigh as much on the moon. 
STDT 3922, An astronaut weighs less on the moon because it has less gravity than earth. 
STDT 3925, A anstronaut weight is different on the moon then on Earth because on the moon because the gravity it greater on the moon. On Earth the gravity (gravitional force) lighter so the gravity decreases. 
STDT 3930, Because earth has gravity that means that a gravitational force is pulling you and making you stay on the grown and not float away and when you are in space there isn't any gravity so you could just float away and also means you wouldn't weigh anything in space because there is not any gravity in space. 
STDT 3931, The moon does not have gravity but the earth does. 
STDT 3933," It is because on the moon, there is less gravity, so their weight will change. Their mass won't change because gravity doesn't affect it.   "
STDT 3934," An astronaut's weight on the moon is different from it is on earth because the mass of the moon is smaller than the mass of the earth so, the gravitational pull of the moon is less. Less gravitational pull means less weight. "
STDT 3941, The earth's gravity is different from the moon's. Weight is measured by force. It requires both mass and gravity.  
STDT 3944, The astronaut's weight is different on the moon than it is on the Earth because on Earth the weight and mass are greater because of the gravity because the gravity is less on the moon so the weight and mass is less. 
STDT 3953, the astronaut's weight would decrease because the gravitational force decrease'es on the moon 
STDT 3954, The reason you weight less on the moon is because the moon has less mass then on earth. 
STDT 3956," There is more gravity on planets, but there is less gravity when there are no planets near you. "
STDT 3957,It’s different on the moon because on earth gravity pulls you down and and in the moon not really .
STDT 3958,On earth an astronaut may weight 175 pounds (778N).On the moon the same astronaut would weigh only 29 pounds (129N).It is the difference mass refers to the amount of matter in an object .but weight is force experienced by an object due to gravity.
STDT 3959," Weight is the force of gravity on an object. The weight of an object increases in a location with more gravity and decreases in a place with less. Since the moon's gravity is less than Earth's, an astronaut weighs less on the moon than on Earth, but his or her mass remains the same. "
STDT 1927, It weighs different because of gravity and the farther they go the less they weight. 
STDT 3970," There is more gravitational force on the moon than on earth, so on the moon we would way less. "
STDT 3978," Astronauts weight depends on their location, it depends on location because weight is the force of gravity on an object. The weight increases when there is more gravity and decreases when there is less gravity. A large object like earth has more gravitational pull on an astronaut than the moon. This makes the astronauts weigh less on the moon than on the earth.  "
STDT 3979," Well, the moon is a lot smaller than the Earth, so on the moon, I would weigh much less than I would on Earth."
STDT 3983,"An astronaut's weight is different on the moon than it is on earth because the moon has less gravity than earth. Weight relies on gravity and mass, so, if the gravity changes, the weight of the astronaut changes as well. "
STDT 3989, The astronaut would be weightless on the moon because there is no gravity. The earth has gravity/ 
STDT 3991, An astronaut's weight is different on the moon than on earth because the weight of different objects increase when they are located on a spot with more gravity but when objects in a place with less gravity the weight decreases
STDT 4002,Its because the Moon has less gravity then the Earth and thats why is an astronaut weighed less on the Moon.
STDT 4023," An astronaut's weight is different on the moon than on earth because of gravity, the less gravity a place has, the less weight.    "
STDT 4028, On Earth à astronaut Wright is heavier than it is on the moon the reason why is because of gravity 
STDT 4029, He or she would weight different on the moon than on the Earth because the Earth has more gravitational force than the moon .So the moon is smaller than the Earth.
STDT 4033,"Weight is affected by gravity, so if you are on the moon, you will lose weight, due to there not being as much gravity."
STDT 4057, the moon has lower gravity than on earth 
